9ビノキツネ 9Tail
GDR1000 GDR1000
LBー501A LB-501A
Y・H・V・H Y.H.V.H
あくまのほしくび DmnHead
アイン Ayn
アエロー Aello
アガレス Agares
アクカル Akhkharu
アクワンスライム Aquans
アサシン Assassin
アシュラ Asura
アスコモイド Ascomoid
アスタロート Astaroth
アスモダイ Asmodeus
アゼザル Azazel
アトラス Atlas
アヌビス Anubis
アピス Apis
アピペ Apep
アフラマズダ Ormazd
アプサラス Apsaras
アポリオン Apollion
アポロン Apollo
アミイ AMI
アムドゥシアス Amducias
アモン Amon
アラハバキ Arahbaki
アリオク Arioch
アルケニー Arachne
アルテミス Artemis
アルラウネ Alraune
ア・バオア・クー ABaoAQu
アーシースライム IceSlime
イフリート Efreet
インキュバス Incubus
インテリペリ Iterpeli
ウィプリ Upyr
ウィルオウィスプ Wisp
ウィルオウィスプ Wisp
ウェアウルフ Werewolf
ウェアキャット Werecat
ウェンディゴ Wendigo
ウォンロン Wonglong
ウコバチ Ukobach
ウトウク Utukku
ウペルリ Upelluri
ウリエル Uriel
ウルム Wurm
ウンディーネ Undine
エアリースライム AirSlime
エイワス Aiwass
エキドナ Echidna
エキンム Edimmu
エリゴール Eligor
エルフ Elf
オオナムチ Okninusi
オキュペテ Ocypete
オニ Oni
オリアス Orias
オルトロス Orthrus
オロバス Orobas
オーガ Ogre
オーク Orc
オーディン Odin
カイム Caim
カップナイト CapKnt
カワンチャ Kwancha
カーバンクル Carbuncl
カーリー Kali
ガネーシャ Ganesha
ガブリエル Gabriel
ガルム Garm
ガルーダ Garuda
ガンダルバ Gandarva
ガーゴイル Gargoyle
ガープ Gaap
キクリヒメ Kikuri
キマイラ Chimera
キマリス Kimaris
キャンサー Cancer
キヨヒメ Kiyohime
キリン Kirin
キングトロール KngTroll
キンナラ Kimnara
ギリメカラ Grimekla
ギルタブ Girtablu
クシナダヒメ Kusinada
クタム Ketam
クラップスライム CrapSlm
クラベビ Takurobi
クリシュナ Krishna
クレイゴーレム ClayGlm
クロノス Chronos
クーフーリン Cuculain
グリフォン Gryphon
グリーンスライム GreenSlm
グレモリー Gemori
グール Ghoul
ケツアルカトル Quezactl
ケライノ Celaeno
ケルビム Cherubim
ケルピー Kelpie
ケルベロス Cerberus
ケンタウロス Centaur
ゲンブ Genbu
ゲーリュオン Geryon
コウモクテン Komokten
コカトライス Coktrice
コボルト Kobold
コロンゾン Coronzon
コワトリクエ Coatlicu
コープス Corpse
ゴズキ Gozuki
ゴブリン Goblin
ゴーゴン Gorgon
ゴースト Ghost
ゴースト・イスマ Isuma
ゴールドスライム GoldSlm
サイクロプス Cyclops
サウォバク Sawobak
サカサクビ Saksakbi
サキュバス Succubus
サタン Satan
サラマンダー Salamand
サルガタナス Srgtanas
サレオス Saleos
サンドルーパー SandLoop
サーペント Serpent
シトリー Sitri
シャドウ Shadow
シルフ Sylph
シヴァ Shiva
ジコクテン Jikokten
ジャイアント Giant
ジャックフロスト J.Frost
ジャックランタン PyroJack
ジャドウ Shadow
ジャバウォーク Jaberwok
ジャンキー Junkie
ジン Jinn
スキュラ Scylla
スケルトン Skeleton
スサノオ Susano-O
ストーンカ Stonka
ストーンゴーレム StoneGlm
スパルチ Spartoi
スフィンクス Sphinx
スペクター Spectre
スライムヘドロ Sludge
セイレーン Siren
セト Set
セベク Sobek
ゼウス Zeus
ソラス Stolas
ソードナイト SwordKnt
ゾウチョウテン Zochoten
ゾマ Zoma
ゾンビ Zombie
タマモノマエ TmamoMae
タムズ Tammuzu
タモンテン Tamonten
タランテラ Trantula
タロス Talos
タンキ Tankie
ターラガ Taarakaa
ダンバラ Dambalah
ダークヒーロー DarkHero
チィンロン QingLong
チュルルック Celuluk
チョンチョン Chonchon
ツクヨミ Tsukyomi
