#GUN
ワルサーPPK         WaltPPK
ガバメント          Gov't
ウージー            Uzi
デザートイーグル    Deagle
ショットガン        Shotgun
レイガン            Raygun
M60マシンガン       M60
レールガン          Railgun
ドラゴンATM         Dragon
サブバルカン        S.Vulcan
ビームライフル      B.Rifle
スパイラルカッター  Spiral
おうごんじゅう      Golden
プラズマライフル    Plasma
ギガスマッシャー    G.Smash
メギドファイヤー    Megido
#KNIFE
ジャックナイフ      Jack
#SWORD
せいどうのつるぎ    Bronze
シミター            Scimitar
グラディウス        Gladius
ブロードソード      Broad
やこうけん          Yakou
イクシオンソード    Ixion
クチナワのけん      Serpent
こてつブレード      Kotetsu
クリスタルソード    Crystal
ヒートソード        Heat
ひっさつオニゴロシ  Ogrebane #lit. one-shot goblin-slayer
ようとうニヒル      YotoNil #yoto nihil, bewitched sword
ふうじんけん        Fujin #wind god
デーモンスレイヤー  DemonWoe #demon slayer
デスブレイド        Death
クサナギのつるぎ    Kusanagi #imperial grass-mowing sword
らいじんけん        Raijin #thunder god
まけんムラマサ      Muramasa #cursed sword muramasa, don't know the lore
ソロモンのおうけん  Solomon
エクスカリバー      Excalibur
ヴァジュラ          Vajra #buddhist sword of spiritual power?
ヒノカグツチのけん  Kagutuchi #hinokagutsuchi
ルシファーのつるぎ  Lucifer
#FLAIL
ヌンチャク          Nunchaku
モーニングスター    Morning
さそりムチ          Scorpion
#STAFF
ろくしゃくぼう      Quarter
#MACE
ドラゴンメイス      Dragon
#CLAW
ハンマハンマー      HamaHama #mecha from some anime?
#AXE
ヘカトンアックス    Hecaton
メガトンアックス    Megaton
#ARMOR
ハイレグアーマー    HighCut
ボディコンメイル    BodyCon
ケブラーベスト      Kevlar
コンサバメイル      Orthodox
ライトメタルスーツ  Aluminum
アイアンマッスル    Iron
すけーるアーマー    Scale
サンダーガード      Thunder
ヘビメタルスーツ    Lode
ファイヤーガード    Fire
フリーズガード      Freeze
ドラゴンメイル      Dragon
テトラジャマー      TetraJam
パンツァーアーマー  Panzer
ヤクートアーマー    Yakut #no idea what this is... Turkish armor?
ルシファーアーマー  Lucifer
#SUIT
バトルスーツ        Battle
パワードスーツ      Power
ハイパーセーラー    Seifuku #japanese school sailor uniform, written as "Hyper Sailor", ref. to sailor moon
#HELM
ジャンクヘルメット  Junk
スターリング        Sterling
アイアンヘッド      Iron
フィリッツヘルム    Fritz
メタルクラウン      Metal
デュラハーンヘルム  Dullahan
サイコヘルメット    Psycho
ドラゴンヘルム      Dragon
パンツァーヘルム    Panzer
ヤクートヘルム      Yakut
マサカドのかぶと    Masakado
#CAP
ブレインガード      Headgear
さんかくぼうし      Tricorn
レッドキャップ      Red
#MASK
ダミーズヘッド      Dummy
デビルヘッド        Devil
ししがしら          Lion
#ARM
ダイヤモンドアーム  Diamond
アームバルカン      Vulcan
サイバーアーム      Cyber
ファイヤーアーム    Fire
ドラゴンクロー      Dragon
パンツァーアーム    Panzer
ヤクートアーム      Yakut
#HAND
リベットナックル    Rivet
カイザーナックル    Kaiser
メタルグローブ      Metal
クールミトン        CoolMitt
クラッシャーハンド  Crusher
デビルハンド        Devil
ゴッドハンド        Godhand
#CLAW
アイアンクロー      Ironclaw
ルシファーズクロー  Lucifer
#BOOT
ウエスタンブーツ    Western
ロンドンブーツ      London
フラワーブーツ      Flower
ジェットブーツ      Jet
スカイブーツ        Sky
ヘビメタルブーツ    Lode
ハイパーブーツ      Hyper
ドラゴンブーツ      Dragon
#SHOE
ラバーソウル        Rubber
ツウキンカイソク    Loafer
アクマのパンプス    Devil
#SANDAL
ヒミコのサンダル    Himiko
ヘルメスのサンダル  Hermes
#FOOT
ビッグフット        BigFoot
#LEG
パンツァーレッグ    Panzer
ヤクートレッグ      Yakut
#MASK
ファルコンアイズ    Falcon
ベビーフェイス      Baby
ミラーマスク        Mirror
フライデーマスク    Jason
ガスマスク          Gas
ウルトラアイズ      UltraEye
#CLOAK
カーパマント        Karpa #no idea what this is
アゲハマント        Ageha #southeast asian swallotail butterfly
ファントムマント    Phantom
バールのマント      Baal
#ITEMS
だてんしのつばさ    Fallen #wing
ほうぎょく          Jewel
ポイズノン          Poisnon
パララノン          Paranon
ペトラノン          Petranon
アギラマストーン    Agi
ジオマストーン      Zio
ブフラマストーン    Bufu
マハラギマストーン  Maragi
マハジオマストーン  Mazio
てなげだん          Grenade
ミサイルランチャー  Missile
ハンマンチャーム    Hama
あぶないクスリ      Risky #drink
うしみつにんぎょう  2amDummy #straw doll used for voodoo curses, ushimitsu is the "witching hour" from 1am to 3am
みあれのすず        Raise #bell
ポイズンダート      Poison #dart
ひじょうぐち        Exit
ひじょうぐち        Exit
かみなりおこし      Kaminari #famous crispy rice snack
あくまのかんづめ    CanDemon #demon-in-a-can?
コアシールド        Core #shield
せがきのれいやく    Segaki #drink
マッスルドリンコ    Muscle #drink
まりょくのもと      ManaCore #lit. magic source
ソーマ              Soma
たいりょくのこう    VIT #incense
ちりょくのこう      INT
つよさのこう        STR
はやさのこう        SPD
うんのこう          LUK
メタルカード        Metal #card
メタルカード        Metal
アメジスト          Amethyst
アクアマリン        Aqua
エメラルド          Emerald
みあらかのゆびわ    Palace
パズスのくび        Pazuzu #head
アナミラン          Anamilan #wtf is this
アナミラン          Anamilan
アナミラン          Anamilan
アナミラン          Anamilan
アナミラン          Anamilan
すずきのめいし      Suzuki #business card
すずきのめいし      Suzuki
ちんみディナー      Dainty #dinner
ちんみディナー      Dainty
