うた            Sing
おどり          Dance
じばく          Sacrifice
せきか          Petrify
どくかみつき    VenomBite
どくばり        Sting
どくガス        PoisonGas
なかまをよぶ    CallAlly
にげる          Escape
にらみ          Glare
のろい          Curse
ひっかく        Scratch
ひょうけつ      Freeze
ほえる          Howl
ほのお          Blaze
まひ            Numb
まもる          Defend
アギ            Agi
アギラオン      Agilaon
アギラマ        Agirama
エナジードレイン Drain
サバトマ        Sabbatma
サマリカーム    Samrecarm
ザン            Zan
ザンダイン      Zandyne
ザンマ          Zanma
ザンマオン      Zanmaon
シバブー        Shibaboo
ジオ            Zio
ジオマ          Zioma
ジオラオン      Ziolaon
タルカジャ      Tarukaja
タルンダ        Tarunda
テトラジャ      Tetraja
テンタラフー    Tentrafoo
ディ            Dia
ディアハン      Diahan
ディアマ        Diama
ディアラハン    Diarahan
デスタッチ      DeathTap
トラエスト      Traesto
トラスタルト    Trastart
トランパ        Tranpa
ドルミナール    Dorminar
ドルミン        Dormin
ハピルマ        Happilma
ハマオン        Hamaon
ハマダイン      Hamadyne
ハンマ          Hanma
ハンマハン      Hanmahan
パトラ          Patra
パララディ      Paraladi
ブフ            Bufu
ブフダイン      Bufudyne
ブフラオン      Bufulaon
ブフラマ        Bufurama
プリンパ        Pulinpa
ペトラディ      Petradi
ペンパトラ      Penpatra
ポズムディ      Posumudi
マカジャマ      Makajama
マカトランダ    Makatoran
マカランダ      Makaranda
マシバブーラ    Mashibabu
マッパラー      Mapper
マハジオ        Mazio
マハジオダイン  Maziodyne
マハジオマ      Mazioma
マハジオラオン  Maziolaon
マハラギ        Maragi
マハラギオン    Maragion
マハラギダイン  Maragidyn
マハラギマ      Maragima
マリンカリン    MarinKrin
ムド            Mudo
ムドオン        Mudoon
ムドダイン      Mudodyne
メディ          Media
メディアハン    Mediahan
メディアマ      Mediama
ラクカジャ      Rakukaja
ラクンダ        Rakunda
リカーム        Recarm
